,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
47,47,47,47,47,46,46,45,45,44,44,43,43,42,42,41,40,40,39,39,38,37,37,36,35,35,34,33,33,32,31,31,30,29,29,28,27,27,26,25,25,24,23,22,22,21,20,20,19,18,17,17,16,15,14,13,13,12,11,10,9,8,7,6,5,4,3,2,0,0
48,48,48,48,48,47,47,46,46,45,45,44,44,43,43,42,41,41,40,40,39,38,38,37,36,36,35,34,34,33,32,32,31,30,30,29,28,28,27,26,26,25,24,23,23,22,21,21,20,19,18,18,17,16,15,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
49,49,49,49,49,48,48,47,47,46,46,45,45,44,44,43,42,42,41,41,40,39,39,38,37,37,36,35,35,34,33,33,32,31,31,30,29,29,28,27,26,26,25,24,24,23,22,22,21,20,19,19,18,17,16,16,15,14,13,12,11,11,10,9,8,7,6,5,4,3
50,50,50,50,50,49,49,48,48,47,47,46,46,45,45,44,43,43,42,42,41,40,40,39,38,38,37,36,36,35,34,34,33,32,32,31,30,30,29,28,27,27,26,25,25,24,23,23,22,21,21,20,19,18,18,17,16,15,14,13,13,12,11,10,9,8,7,6,5,4
51,51,51,51,51,50,50,49,49,48,48,47,47,46,46,45,44,44,43,43,42,41,41,40,39,39,38,37,37,36,35,35,34,33,33,32,31,31,30,29,28,28,27,26,26,25,24,24,23,22,22,21,20,19,19,18,17,16,15,15,14,13,12,11,10,9,8,7,6,5
52,52,52,52,52,51,51,50,50,49,49,48,48,47,47,46,45,45,44,44,43,42,42,41,40,40,39,38,38,37,36,36,35,34,34,33,32,31,31,30,29,29,28,27,27,26,25,25,24,23,23,22,21,20,20,19,18,17,17,16,15,14,13,12,11,11,10,9,8,7
53,53,53,53,53,52,52,51,51,50,50,49,49,48,48,47,46,46,45,45,44,43,43,42,41,41,40,39,39,38,37,37,36,35,35,34,33,32,32,31,30,30,29,28,28,27,26,26,25,24,23,23,22,21,21,20,19,18,18,17,16,15,14,13,13,12,11,10,9,8
54,54,54,54,54,53,53,52,52,51,51,50,50,49,49,48,47,47,46,46,45,44,44,43,42,42,41,40,40,39,38,38,37,36,36,35,34,33,33,32,31,31,30,29,29,28,27,27,26,25,24,24,23,22,22,21,20,19,19,18,17,16,15,15,14,13,12,11,10,9
55,55,55,55,55,54,54,53,53,52,52,51,51,50,50,49,48,48,47,47,46,45,45,44,43,43,42,41,41,40,39,39,38,37,37,36,35,34,34,33,32,32,31,30,30,29,28,28,27,26,25,25,24,23,23,22,21,20,20,19,18,17,17,16,15,14,13,12,11,10
56,56,56,56,56,55,55,54,54,53,53,52,52,51,51,50,49,49,48,48,47,46,46,45,44,44,43,42,42,41,40,40,39,38,38,37,36,35,35,34,33,33,32,31,31,30,29,29,28,27,26,26,25,24,24,23,22,21,21,20,19,18,18,17,16,15,14,13,13,12
57,57,57,57,57,56,56,55,55,54,54,53,53,52,52,51,50,50,49,49,48,47,47,46,45,45,44,43,43,42,41,41,40,39,39,38,37,36,36,35,34,34,33,32,32,31,30,29,29,28,27,27,26,25,25,24,23,22,22,21,20,19,19,18,17,16,15,15,14,13
58,58,58,58,58,57,57,56,56,55,55,54,54,53,53,52,51,51,50,50,49,48,48,47,46,46,45,44,44,43,42,42,41,40,40,39,38,37,37,36,35,35,34,33,33,32,31,30,30,29,28,28,27,26,26,25,24,23,23,22,21,21,20,19,18,17,17,16,15,14
59,59,59,59,59,58,58,57,57,56,56,55,55,54,54,53,52,52,51,51,50,49,49,48,47,47,46,45,45,44,43,43,42,41,41,40,39,38,38,37,36,36,35,34,34,33,32,32,31,30,29,29,28,27,27,26,25,24,24,23,22,22,21,20,19,18,18,17,16,15
60,60,60,60,60,59,59,58,58,57,57,56,56,55,55,54,53,53,52,52,51,50,50,49,48,48,47,46,46,45,44,44,43,42,42,41,40,39,39,38,37,37,36,35,35,34,33,33,32,31,30,30,29,28,28,27,26,25,25,24,23,23,22,21,20,20,19,18,17,16
61,61,61,61,61,60,60,59,59,58,58,57,57,56,56,55,54,54,53,53,52,51,51,50,49,49,48,47,47,46,45,45,44,43,43,42,41,40,40,39,38,38,37,36,36,35,34,33,33,32,31,31,30,29,29,28,27,26,26,25,24,24,23,22,21,21,20,19,18,17
62,62,62,62,62,61,61,60,60,59,59,58,58,57,57,56,55,55,54,54,53,52,52,51,50,50,49,48,48,47,46,46,45,44,44,43,42,41,41,40,39,39,38,37,37,36,35,34,34,33,32,32,31,30,30,29,28,27,27,26,25,25,24,23,22,22,21,20,19,18
63,63,63,63,63,62,62,61,61,60,60,59,59,58,58,57,56,56,55,55,54,53,53,52,51,51,50,49,49,48,47,47,46,45,45,44,43,42,42,41,40,40,39,38,38,37,36,35,35,34,33,33,32,31,30,30,29,28,28,27,26,26,25,24,23,23,22,21,20,20
64,64,64,64,64,63,63,62,62,61,61,60,60,59,59,58,57,57,56,56,55,54,54,53,52,52,51,50,50,49,48,48,47,46,45,45,44,43,43,42,41,41,40,39,38,38,37,36,36,35,34,34,33,32,31,31,30,29,29,28,27,27,26,25,24,24,23,22,21,21
65,65,65,65,65,64,64,63,63,62,62,61,61,60,60,59,58,58,57,57,56,55,55,54,53,53,52,51,51,50,49,49,48,47,46,46,45,44,44,43,42,42,41,40,39,39,38,37,37,36,35,35,34,33,32,32,31,30,30,29,28,28,27,26,25,25,24,23,22,22
66,66,66,66,66,65,65,64,64,63,63,62,62,61,61,60,59,59,58,58,57,56,56,55,54,54,53,52,52,51,50,50,49,48,47,47,46,45,45,44,43,43,42,41,40,40,39,38,38,37,36,36,35,34,34,33,32,31,31,30,29,28,28,27,26,26,25,24,23,23
67,67,67,67,67,66,66,65,65,64,64,63,63,62,62,61,60,60,59,59,58,57,57,56,55,55,54,53,53,52,51,51,50,49,48,48,47,46,46,45,44,44,43,42,41,41,40,39,39,38,37,37,36,35,34,34,33,32,32,31,30,29,29,28,27,27,26,25,24,24
68,68,68,68,68,67,67,66,66,65,65,64,64,63,63,62,61,61,60,60,59,58,58,57,56,56,55,54,54,53,52,52,51,50,49,49,48,47,47,46,45,45,44,43,42,42,41,40,40,39,38,38,37,36,35,35,34,33,33,32,31,30,30,29,28,28,27,26,25,25
69,69,69,69,69,68,68,67,67,66,66,65,65,64,64,63,62,62,61,61,60,59,59,58,57,57,56,55,55,54,53,53,52,51,50,50,49,48,48,47,46,46,45,44,43,43,42,41,41,40,39,39,38,37,36,36,35,34,34,33,32,31,31,30,29,29,28,27,26,26
